ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300750.SZ,20200521,151.81,153.55,146.58,147.46,149.3,-1.84,-1.2324,154876.07,2328717.775,-0.012400752
300750.SZ,20200522,146.62,146.86,141,142.81,147.46,-4.65,-3.1534,148172.95,2127136.883,-0.032041877
300750.SZ,20200525,142.68,144.41,140.55,144.3,142.81,1.49,1.0433,103782.05,1482241.104,0.01037939
300750.SZ,20200526,145.77,150.41,145.2,150.03,144.3,5.73,3.9709,174865.31,2596292.602,0.038940808
300750.SZ,20200527,149.96,155,149.9,151.5,150.03,1.47,0.9798,181049.17,2763780.108,0.009750351
300750.SZ,20200528,149.99,150.9,143.5,147.84,151.5,-3.66,-2.4158,174247.09,2553996.974,-0.024455017
300750.SZ,20200529,147,147.83,144.5,145.53,147.84,-2.31,-1.5625,141427.91,2060033.605,-0.015748357
300750.SZ,20200601,147.47,153.03,146.36,150.95,145.53,5.42,3.7243,151765.62,2284037.537,0.036566405
300750.SZ,20200602,154,154.89,146.98,149.46,150.95,-1.49,-0.9871,137030.28,2055312.032,-0.009919858
300750.SZ,20200603,150,151.12,147.81,148.5,149.46,-0.96,-0.6423,113635.32,1693882.301,-0.00644384
300750.SZ,20200604,149.8,154.13,148.6,150,148.28,1.72,1.16,137573.96,2082248.431,0.011532916
300750.SZ,20200605,149.55,151.35,147.26,151.2,150,1.2,0.8,98627,1475831.34,0.00796817
300750.SZ,20200608,153.74,154.55,150.46,151.4,151.2,0.2,0.1323,105603.79,1605995.418,0.001321877
300750.SZ,20200609,154.5,155.97,153.1,153.96,151.4,2.56,1.6909,150699.25,2325730.459,0.016767487
300750.SZ,20200610,159.9,159.9,153.5,156.68,153.96,2.72,1.7667,198210.16,3097487.314,0.01751268
300750.SZ,20200611,160,170.08,158.13,163.98,156.68,7.3,4.6592,368177.09,6056179.35,0.04553896
300750.SZ,20200612,160.18,162.5,158.88,159.3,163.98,-4.68,-2.854,252445.51,4038133.987,-0.028955252
300750.SZ,20200615,156.23,161.26,155.51,157.7,159.3,-1.6,-1.0044,159452.46,2526289.032,-0.010094723
